lab_id,Transect angle
EE19_7345,4
EE19_7348,0
EE19_7351,0
EE19_7410,23
EE19_7555,20
EE19_7601,0
EE19_7658,0
EE19_7683,14
EE19_7704,10
EE19_7851,26
EE19_7876,23
EE19_7922,17
EE19_7929,20
EE19_7948,0
EE19_7955,2
EE19_7981,0
EE19_7991,0
EE19_8013,0
EE19_8042,13
EE19_8051,0
EE19_8059,11
EE19_8082,20
EE19_8084,2
EE19_9008,3
EE19_9076,0
EE19_9086,10
EE19_9103,3
EE19_9116,0
EE19_9122,0
EE19_9131,0
EE19_9198,0
EE19_5042,3
EE19_5108,1
EE19_5434,0
EE19_5512,13
EE19_5668,22 (1-146); 20 (147-200)
EE19_5674,0
EE19_6062,0
EE19_5853,0
EE18_68966,0
EE18_68673,0
EE18_18154,5
EE19_5092,0
EE19_5152,21
EE19_5157,2 (1-129); 16 (130-200)
EE19_5164,0
EE19_5289,2
EE19_5352,10
EE19_5506,0
EE19_5893,7
EE19_6037,12
EE19_5237,21
EE19_7020,0
EE19_5226,3
EE19_7041,0
EE19_7044,0
EE19_7071,5
EE19_5140,3
EE19_7082,2 (1-108); 24 (109-193)
EE19_7163,0
EE19_7335,0
EE19_7375,0
EE19_7384,0
EE19_7572,18 (1-189); 3 (190-203)
EE19_7864,0
EE19_7993,12
EE19_8027,3
EE19_8060,0
EE19_80339,3
EE19_6051,0
EE19_5045,5 (1-105); 10 (106-200)
EE19_5065,0
EE19_7972,0
EE19_5081,0
EE19_80128,3
EE19_5139,17
EE19_80117,22 (1-92); 0 (93-200)
EE19_5146,0
EE19_5154,13
EE19_5168,0
EE19_5174,0
EE19_5403,0
EE19_9085,12 (1-120); 6 (121-206)
EE19_7087,0
EE19_5132,0
EE19_5342,1
EE19_5397,0
EE19_80148,1
EE19_5412,0
EE19_5682,10
EE19_7126,4
EE19_7073,0
EE19_5756,0
EE19_5809,0
EE19_80127,0
EE19_5074,0
EE19_6000,0
EE19_7085,0
EE19_7121,18 (1-135); 8 (136-202)
EE19_5707,16
EE19_5334,0
